,conf,conf_quart,file_name,OK?,comments,label,value,year,unit
266,96,2,00757019_2018-11-15,y,,tangible assets,20186,2018,£
267,95,2,00757019_2018-11-15,y,,tangible assets,12841,2017,£
268,96,2,00757019_2018-11-15,y,,stocks,1196489,2018,£
269,96,2,00757019_2018-11-15,y,,stocks,594500,2017,£
270,96,2,00757019_2018-11-15,y,,debtors,293986,2018,£
271,96,2,00757019_2018-11-15,y,,debtors,166895,2017,£
272,96,2,00757019_2018-11-15,y,,cash at bank and in hand,1795,2018,£
273,96,2,00757019_2018-11-15,y,,cash at bank and in hand,99276,2017,£
274,96,2,00757019_2018-11-15,y,,creditors amounts falling due within one year,1461658,2018,£
275,83,2,00757019_2018-11-15,y,,creditors amounts falling due within one year,767353,2017,£
276,86,2,00757019_2018-11-15,y,,net current assets,30612,2018,£
277,96,2,00757019_2018-11-15,y,,net current assets,93318,2017,£
278,96,2,00757019_2018-11-15,y,,total assets less current liabilities,50798,2018,£
279,96,2,00757019_2018-11-15,y,,total assets less current liabilities,106159,2017,£
280,96,2,00757019_2018-11-15,y,,net assets,50798,2018,£
281,96,2,00757019_2018-11-15,y,,net assets,106159,2017,£
282,96,2,00757019_2018-11-15,y,,called up share capital,100000,2018,£
283,67,2,00757019_2018-11-15,y,,called up share capital,100000,2017,£
284,96,2,00757019_2018-11-15,y,,profit and loss account,49202,2018,£
285,96,2,00757019_2018-11-15,y,,profit and loss account,6159,2017,£
286,95,2,00757019_2018-11-15,y,,shareholders funds,50798,2018,£
287,96,2,00757019_2018-11-15,y,,shareholders funds,106159,2017,£
14,96,4,01848334_2018-11-19,y,,tangible assets,9595,2018,£
15,94,4,01848334_2018-11-19,y,,tangible assets,18671,2017,£
16,96,4,01848334_2018-11-19,y,,stocks,2100,2018,£
17,96,4,01848334_2018-11-19,y,,stocks,2100,2017,£
18,96,4,01848334_2018-11-19,y,,debtors amounts falling due within one year,372307,2018,£
19,96,4,01848334_2018-11-19,y,,debtors amounts falling due within one year,434429,2017,£
20,95,4,01848334_2018-11-19,y,,cash at bank and in hand,141878,2018,£
21,95,4,01848334_2018-11-19,y,,cash at bank and in hand,46517,2017,£
22,96,4,01848334_2018-11-19,y,,creditors amounts falling due within one year,325686,2018,£
23,95,4,01848334_2018-11-19,y,,creditors amounts falling due within one year,322492,2017,£
24,96,4,01848334_2018-11-19,y,,net current assets,190599,2018,£
25,96,4,01848334_2018-11-19,y,,net current assets,160554,2017,£
26,96,4,01848334_2018-11-19,y,,total assets less current liabilities,208711,2018,£
27,96,4,01848334_2018-11-19,y,,total assets less current liabilities,179225,2017,£
28,96,4,01848334_2018-11-19,y,,deferred tax,2648,2018,£
29,96,4,01848334_2018-11-19,y,,deferred tax,2682,2017,£
30,96,4,01848334_2018-11-19,y,,net assets,206063,2018,£
31,96,4,01848334_2018-11-19,y,,net assets,176543,2017,£
32,95,4,01848334_2018-11-19,y,,called up share capital,100000,2018,£
33,96,4,01848334_2018-11-19,y,,called up share capital,100000,2017,£
34,96,4,01848334_2018-11-19,y,,profit and loss account,106063,2018,£
35,96,4,01848334_2018-11-19,y,,profit and loss account,76543,2017,£
52,53,1,02390404_2018-12-09,n,value is date,march,25,2006,£1
53,77,1,02390404_2018-12-09,n,value is date,march,0,2005,£1
144,96,2,02641437_2019-01-02,n,is not a value,. notes to consolidated financial statements as at and for the year ended march,31,2018,£
145,96,2,02641437_2019-01-02,n,is not a value,. notes to consolidated financial statements as at and for the year ended march,2018,2017,£
146,95,2,02641437_2019-01-02,n,is date,march   march,31,2018,£
147,95,2,02641437_2019-01-02,n ,is date,march   march,2017,2017,£
148,95,2,02641437_2019-01-02,n,not clear where this is from,short term loan from a joint venture refer note,145901266,2018,£
149,96,2,02641437_2019-01-02,n,not clear where this is from,short term loan from a joint venture refer note,120573777,2017,£
150,95,2,02641437_2019-01-02,n,label incorrect – misspelling,total current borrowin,1334106239,2018,£
151,92,2,02641437_2019-01-02,n,label incorrect – misspelling,total current borrowin,762476404,2017,£
152,95,2,02641437_2019-01-02,n,not clear where this is from,secured borrowings   unsecured borrowings,488299015,2018,£
153,94,2,02641437_2019-01-02,n,not clear where this is from,secured borrowings   unsecured borrowings,256836061,2017,£
154,86,2,02641437_2019-01-02,y,,intangible assets,1125373,2018,£
155,92,2,02641437_2019-01-02,n,value incorrect – 1243834,intangible assets,4243834,2017,£
156,92,2,02641437_2019-01-02,y,,tangible assets,1772871,2018,£
157,88,2,02641437_2019-01-02,n,value incorrect –  1112106,tangible assets,4112106,2017,£
158,96,2,02641437_2019-01-02,y,,investments,5169479,2018,£
159,95,2,02641437_2019-01-02,y,,investments,5169479,2017,£
160,79,2,02641437_2019-01-02,y,,stocks,777307,2018,£
161,93,2,02641437_2019-01-02,y,,stocks,826104,2017,£
162,88,2,02641437_2019-01-02,n,label incorrect ,gash at bank and in hand,270946,2018,£
