,conf,currYr,label,source,value,year,unit
0,94.0,1.0,Debtors amounts owed by parent undertaking,Debtors amounts owed by parent undertaking 34995 34995,34995,2017.0,£
1,96.0,0.0,Debtors amounts owed by parent undertaking,Debtors amounts owed by parent undertaking 34995 34995,34995,2016.0,£
2,95.0,1.0,Total Current Assets,Total Current Assets 34995 34995,34995,2017.0,£
3,95.0,0.0,Total Current Assets,Total Current Assets 34995 34995,34995,2016.0,£
4,96.0,1.0,Called up share capital,Called up share capital 4 26999 26999,26999,2017.0,£
5,96.0,0.0,Called up share capital,Called up share capital 4 26999 26999,26999,2016.0,£
6,96.0,1.0,Share premium account,Share premium account 7996 7996,7996,2017.0,£
7,96.0,0.0,Share premium account,Share premium account 7996 7996,7996,2016.0,£
8,95.0,1.0,Total Shareholders Funds,Total Shareholders Funds 34995 34995,34995,2017.0,£
9,96.0,0.0,Total Shareholders Funds,Total Shareholders Funds 34995 34995,34995,2016.0,£
10,96.0,1.0,A,A23 04082018 40,04082018,2017.0,£
11,96.0,0.0,A,A23 04082018 40,40,2016.0,£
