,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Notes,Notes 2917 2016,2917,2006.0,£
1,75.0,0.0,Notes,Notes 2917 2016,2016,2005.0,£
2,41.0,1.0,Fixed Assets,Fixed Assets 71435 17879,71435,2006.0,£
3,59.0,0.0,Fixed Assets,Fixed Assets 71435 17879,17879,2005.0,£
4,94.0,1.0,Current Assets,Current Assets 231470 297780,231470,2006.0,£
5,94.0,0.0,Current Assets,Current Assets 231470 297780,297780,2005.0,£
6,94.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 119884 142197,119884,2006.0,£
7,94.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 119884 142197,142197,2005.0,£
8,41.0,1.0,Net current assets liabilities,Net current assets liabilities 111586 155583,111586,2006.0,£
9,73.0,0.0,Net current assets liabilities,Net current assets liabilities 111586 155583,155583,2005.0,£
10,88.0,1.0,Provisions for liabilities,Provisions for liabilities 2387 3576,2387,2006.0,£
11,88.0,0.0,Provisions for liabilities,Provisions for liabilities 2387 3576,3576,2005.0,£
12,89.0,1.0,Total net assets liabilities,Total net assets liabilities 168334 157586,168334,2006.0,£
13,89.0,0.0,Total net assets liabilities,Total net assets liabilities 168334 157586,157586,2005.0,£
14,92.0,1.0,Capital and reserves,Capital and reserves 168334 157586,168334,2006.0,£
15,93.0,0.0,Capital and reserves,Capital and reserves 168334 157586,157586,2005.0,£
