,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible fixed assets,Tangible fixed assets 2847 3048,2847,2017.0,£
1,92.0,0.0,Tangible fixed assets,Tangible fixed assets 2847 3048,3048,2016.0,£
2,96.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 261789 200293,261789,2017.0,£
3,95.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 261789 200293,200293,2016.0,£
4,96.0,1.0,Cash and cash equivalents,Cash and cash equivalents 59889 170518,59889,2017.0,£
5,96.0,0.0,Cash and cash equivalents,Cash and cash equivalents 59889 170518,170518,2016.0,£
6,96.0,1.0,Creditors amounts falling due within one year,year 372068 442556,372068,2017.0,£
7,96.0,0.0,Creditors amounts falling due within one year,year 372068 442556,442556,2016.0,£
8,95.0,1.0,Net current liabilities,Net current liabilities 50390 71745,50390,2017.0,£
9,96.0,0.0,Net current liabilities,Net current liabilities 50390 71745,71745,2016.0,£
10,96.0,1.0,Net liabilities,Net liabilities 47543 68697,47543,2017.0,£
11,96.0,0.0,Net liabilities,Net liabilities 47543 68697,68697,2016.0,£
12,96.0,1.0,Called up share capital,Called up share capital 100 100,100,2017.0,£
13,96.0,0.0,Called up share capital,Called up share capital 100 100,100,2016.0,£
14,96.0,1.0,Profit and loss account,Profit and loss account 47643 68797,47643,2017.0,£
15,96.0,0.0,Profit and loss account,Profit and loss account 47643 68797,68797,2016.0,£
