,file,balance_pages
0,10685724_2018-09-25.pdf,"[3.0, 4.0, 5.0, 6.0, 9.0]"
1,08090394_2018-05-04.pdf,[2.0]
2,10244687_2017-07-03.pdf,[]
3,03790585_2018-09-30.pdf,[1.0]
4,09061147_2019-01-23.pdf,"[2.0, 5.0, 6.0, 8.0]"
5,10614808_2018-11-13.pdf,[2.0]
6,08400859_2018-10-15.pdf,"[2.0, 6.0, 7.0]"
7,02709473_2019-01-17.pdf,"[1.0, 9.0]"
8,08185172_2018-05-16.pdf,"[2.0, 5.0]"
9,05378673_2018-09-20.pdf,[1.0]
10,10507589_2018-09-04.pdf,[1.0]
11,05976743_2018-05-04.pdf,[2.0]
12,03296700_2018-01-10.pdf,"[1.0, 2.0]"
13,09772556_2017-06-11.pdf,[2.0]
14,06182727_2019-01-04.pdf,[3.0]
15,08389984_2017-09-26.pdf,"[5.0, 10.0, 24.0, 26.0, 29.0, 37.0, 44.0, 47.0, 49.0]"
16,10339675_2018-05-17.pdf,"[2.0, 3.0, 4.0]"
17,10656025_2018-06-19.pdf,"[2.0, 5.0]"
18,05525165_2018-07-10.pdf,[2.0]
19,05833659_2017-04-13.pdf,"[1.0, 2.0, 5.0, 6.0, 13.0, 17.0, 24.0, 25.0, 28.0]"
20,08805853_2018-10-04.pdf,"[2.0, 8.0, 9.0]"
21,10140126_2019-01-31.pdf,"[2.0, 4.0]"
22,09447254_2017-08-15.pdf,[1.0]
23,03569937_2018-12-24.pdf,"[3.0, 4.0]"
24,08548566_2018-03-06.pdf,"[2.0, 3.0]"
25,10303294_2018-06-12.pdf,[2.0]
26,09626128_2018-05-21.pdf,"[1.0, 2.0, 4.0, 7.0, 10.0, 11.0, 17.0, 23.0]"
27,04063792_2018-09-02.pdf,[1.0]
28,10712372_2018-12-03.pdf,[2.0]
29,05677314_2018-09-19.pdf,"[1.0, 5.0, 9.0]"
30,SC239971_2018-05-25.pdf,[1.0]
31,00547325_2018-06-06.pdf,"[8.0, 13.0, 14.0, 15.0, 18.0, 19.0, 23.0, 28.0, 33.0, 35.0]"
32,03496176_2018-04-26.pdf,"[2.0, 9.0, 17.0, 20.0, 24.0, 27.0, 29.0, 30.0, 34.0]"
33,08250612_2018-08-02.pdf,"[1.0, 9.0, 10.0, 13.0]"
34,08205641_2018-05-30.pdf,[1.0]
35,10347024_2018-05-25.pdf,[2.0]
36,07465251_2018-05-21.pdf,"[1.0, 3.0, 7.0, 9.0]"
37,10893082_2018-09-18.pdf,[1.0]
38,06522069_2018-08-21.pdf,"[1.0, 4.0, 8.0, 9.0, 11.0]"
39,NI610891_2018-06-04.pdf,"[1.0, 2.0, 4.0]"
40,10709480_2018-10-01.pdf,[1.0]
41,05863306_2018-08-03.pdf,"[3.0, 5.0, 11.0, 14.0, 16.0, 19.0, 22.0, 23.0]"
42,04406655_2018-08-31.pdf,[9.0]
43,06919730_2018-05-23.pdf,"[2.0, 4.0, 6.0, 7.0, 8.0, 9.0, 12.0, 22.0, 25.0, 29.0]"
44,06329355_2018-09-18.pdf,"[1.0, 4.0]"
45,03491077_2018-07-13.pdf,"[1.0, 3.0, 4.0]"
46,06318736_2018-05-03.pdf,[3.0]
47,09925438_2018-11-26.pdf,[1.0]
48,09948734_2018-10-24.pdf,[2.0]
49,09716190_2018-01-29.pdf,"[1.0, 2.0]"
50,10575542_2018-10-17.pdf,[3.0]
51,10355449_2018-11-06.pdf,[2.0]
52,10760769_2018-07-23.pdf,"[1.0, 3.0]"
53,04653831_2018-06-26.pdf,[2.0]
54,01309169_2018-10-01.pdf,"[1.0, 7.0, 8.0, 9.0, 11.0]"
55,04051648_2018-10-06.pdf,"[5.0, 6.0, 15.0, 20.0, 24.0, 25.0, 26.0, 30.0, 31.0, 32.0, 38.0]"
56,08249971_2018-03-26.pdf,[1.0]
57,04907329_2018-09-19.pdf,[2.0]
58,05889359_2018-05-25.pdf,[2.0]
59,10644921_2018-11-30.pdf,"[4.0, 5.0, 6.0]"
60,10963865_2019-01-28.pdf,"[1.0, 3.0]"
61,NI038996_2018-05-21.pdf,[1.0]
62,03195527_2018-11-21.pdf,"[7.0, 8.0, 11.0]"
63,07058084_2018-05-31.pdf,"[5.0, 7.0, 10.0]"
64,09783927_2018-10-12.pdf,[2.0]
65,07383925_2018-10-03.pdf,"[1.0, 2.0, 4.0, 5.0, 6.0, 9.0, 12.0, 17.0, 18.0, 19.0, 20.0]"
66,NI036473_2018-12-19.pdf,"[1.0, 3.0, 5.0, 8.0, 11.0]"
