,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Fixed assets,Fixed assets 8 8,8,2017.0,€
1,96.0,0.0,Fixed assets,Fixed assets 8 8,8,2016.0,€
2,95.0,1.0,Current assets,Current assets 3 3,3,2017.0,€
3,87.0,0.0,Current assets,Current assets 3 3,3,2016.0,€
4,94.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 2530 2530,2530,2017.0,€
5,68.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 2530 2530,2530,2016.0,€
6,96.0,1.0,Net current assets liabilities,Net current assets liabilities 2527 2527,2527,2017.0,€
7,96.0,0.0,Net current assets liabilities,Net current assets liabilities 2527 2527,2527,2016.0,€
8,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 2519 2519,2519,2017.0,€
9,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 2519 2519,2519,2016.0,€
10,96.0,1.0,Capital and reserves,Capital and reserves 2519 2519,2519,2017.0,€
11,96.0,0.0,Capital and reserves,Capital and reserves 2519 2519,2519,2016.0,€
0,96.0,1.0,CF10 2DX e,e108 201 1 372,1,2017.0,€
1,36.0,0.0,CF10 2DX e,e108 201 1 372,372,2016.0,€
