,conf,currYr,label,source,value,year,unit
0,95.0,1.0,Note,Note 30112016 30112017,30112016,2017.0,
1,96.0,0.0,Note,Note 30112016 30112017,30112017,2016.0,
2,96.0,1.0,Calledup Share capital not paid,Calledup Share capital not paid 0 0,0,2017.0,
3,96.0,0.0,Calledup Share capital not paid,Calledup Share capital not paid 0 0,0,2016.0,
4,96.0,1.0,Tangible assets,Tangible assets 1 4000 4000,4000,2017.0,
5,96.0,0.0,Tangible assets,Tangible assets 1 4000 4000,4000,2016.0,
6,96.0,1.0,Investments,Investments 0 0,0,2017.0,
7,93.0,0.0,Investments,Investments 0 0,0,2016.0,
8,96.0,1.0,Current assets i. Investments,i. Investments 0 0,0,2017.0,
9,96.0,0.0,Current assets i. Investments,i. Investments 0 0,0,2016.0,
10,96.0,1.0,J. Capitalup share capital, J. Capitalup share capital 2 10398 10398,10398,2017.0,
11,96.0,0.0,J. Capitalup share capital, J. Capitalup share capital 2 10398 10398,10398,2016.0,
12,96.0,1.0,IL. Other Reserve,IL. Other Reserve 0 0,0,2017.0,
13,96.0,0.0,IL. Other Reserve,IL. Other Reserve 0 0,0,2016.0,
14,96.0,1.0,Ill. Profit and loss account,Ill. Profit and loss account 3 6398 6398,6398,2017.0,
15,96.0,0.0,Ill. Profit and loss account,Ill. Profit and loss account 3 6398 6398,6398,2016.0,
16,96.0,1.0,PROVISION FOR LIABILITIES,PROVISION FOR LIABILITIES 0 0,0,2017.0,
17,96.0,0.0,PROVISION FOR LIABILITIES,PROVISION FOR LIABILITIES 0 0,0,2016.0,
18,96.0,1.0,CREDITORS,CREDITORS 0 0,0,2017.0,
19,95.0,0.0,CREDITORS,CREDITORS 0 0,0,2016.0,
20,96.0,1.0,ACCRUALS AND DEFERRED INCOME,ACCRUALS AND DEFERRED INCOME 0 0,0,2017.0,
21,96.0,0.0,ACCRUALS AND DEFERRED INCOME,ACCRUALS AND DEFERRED INCOME 0 0,0,2016.0,
