,conf,currYr,label,source,value,year,unit
0,89.0,1.0,Current Assets Bank,Current Assets Bank 16969 7114,16969,2006.0,
1,77.0,0.0,Current Assets Bank,Current Assets Bank 16969 7114,7114,2005.0,
2,96.0,1.0,Creditors Amounts falling due within one Year,Creditors Amounts falling due within one Year 14090 856,14090,2006.0,
3,96.0,0.0,Creditors Amounts falling due within one Year,Creditors Amounts falling due within one Year 14090 856,856,2005.0,
4,83.0,1.0,Net Current Assets Liabilities,Net Current Assets Liabilities 6258 6258,6258,2006.0,
5,83.0,0.0,Net Current Assets Liabilities,Net Current Assets Liabilities 6258 6258,6258,2005.0,
6,66.0,1.0,Total Assets less current liabilities,Total Assets less current liabilities 2879 6258,2879,2006.0,
7,85.0,0.0,Total Assets less current liabilities,Total Assets less current liabilities 2879 6258,6258,2005.0,
8,80.0,1.0,Net Assets liabilities,Net Assets liabilities 1244 6258,1244,2006.0,
9,80.0,0.0,Net Assets liabilities,Net Assets liabilities 1244 6258,6258,2005.0,
10,84.0,1.0,Capital and reserves,Capital and reserves 1244 6258,1244,2006.0,
11,84.0,0.0,Capital and reserves,Capital and reserves 1244 6258,6258,2005.0,
