,file,balance_pages,pages_found
0,04265943_2018-09-18.pdf,[9.0],True
1,10685724_2018-09-25.pdf,[],False
2,07642245_2018-12-31.pdf,[8.0],True
3,08090394_2018-05-04.pdf,[],False
4,10582063_2018-10-31.pdf,[1.0],True
5,10244687_2017-07-03.pdf,[],False
6,03790585_2018-09-30.pdf,[],False
7,06225712_2019-01-22.pdf,"[8.0, 9.0, 10.0]",True
8,09061147_2019-01-23.pdf,[],False
9,10614808_2018-11-13.pdf,[],False
10,08400859_2018-10-15.pdf,[],False
11,02709473_2019-01-17.pdf,[],False
12,11425029_2019-01-23.pdf,[1.0],True
13,08185172_2018-05-16.pdf,[],False
14,05378673_2018-09-20.pdf,[],False
15,04809823_2018-07-12.pdf,[1.0],True
16,10507589_2018-09-04.pdf,[],False
17,09618523_2018-02-21.pdf,[6.0],True
18,10600041_2018-10-29.pdf,[1.0],True
19,05976743_2018-05-04.pdf,[],False
20,10646296_2018-11-29.pdf,[2.0],True
21,10654937_2018-12-07.pdf,[2.0],True
22,03296700_2018-01-10.pdf,[],False
23,10507550_2018-10-29.pdf,[2.0],True
24,09772556_2017-06-11.pdf,[],False
25,10280131_2018-01-29.pdf,[2.0],True
26,06182727_2019-01-04.pdf,[],False
27,08687120_2018-11-14.pdf,[4.0],True
28,08389984_2017-09-26.pdf,[],False
29,10339675_2018-05-17.pdf,[],False
30,10773005_2018-11-22.pdf,[1.0],True
31,10656025_2018-06-19.pdf,[],False
32,02458441_2018-07-31.pdf,[3.0],True
33,OC334298_2018-08-07.pdf,[2.0],True
34,10483762_2018-09-05.pdf,[1.0],True
35,05525165_2018-07-10.pdf,[],False
36,05833659_2017-04-13.pdf,[],False
37,10915737_2018-11-05.pdf,"[2.0, 7.0]",True
38,08805853_2018-10-04.pdf,[],False
39,10140126_2019-01-31.pdf,[],False
40,09447254_2017-08-15.pdf,[],False
41,03569937_2018-12-24.pdf,[],False
42,10660518_2018-11-19.pdf,"[1.0, 3.0, 5.0]",True
43,08548566_2018-03-06.pdf,[],False
44,10303294_2018-06-12.pdf,[],False
45,10532659_2018-11-02.pdf,"[2.0, 3.0]",True
46,10664168_2018-11-09.pdf,[2.0],True
47,10756808_2018-12-28.pdf,"[2.0, 4.0]",True
48,09626128_2018-05-21.pdf,[],False
49,04063792_2018-09-02.pdf,[],False
50,10832155_2019-02-05.pdf,[2.0],True
51,10712372_2018-12-03.pdf,[],False
52,10602392_2018-10-17.pdf,[2.0],True
53,10641477_2018-05-06.pdf,[1.0],True
54,05677314_2018-09-19.pdf,[],False
55,SC239971_2018-05-25.pdf,[],False
56,00547325_2018-06-06.pdf,[],False
57,02080819_2018-04-24.pdf,"[1.0, 4.0]",True
58,03496176_2018-04-26.pdf,[],False
59,08250612_2018-08-02.pdf,[],False
60,10550078_2018-09-26.pdf,"[2.0, 3.0]",True
61,08205641_2018-05-30.pdf,[],False
62,10347024_2018-05-25.pdf,[],False
63,10601758_2018-10-01.pdf,[1.0],True
64,OC384692_2019-01-28.pdf,[3.0],True
65,07465251_2018-05-21.pdf,[],False
66,09959699_2018-10-12.pdf,[1.0],True
67,10893082_2018-09-18.pdf,[],False
68,10994939_2018-12-17.pdf,"[4.0, 5.0, 6.0]",True
69,11015345_2018-11-14.pdf,[2.0],True
70,10345925_2018-05-10.pdf,[1.0],True
71,06522069_2018-08-21.pdf,[],False
72,SC579534_2018-12-20.pdf,"[1.0, 5.0]",True
73,10620959_2018-10-30.pdf,[2.0],True
74,NI610891_2018-06-04.pdf,[],False
75,10805893_2018-12-21.pdf,[2.0],True
76,03205093_2018-12-06.pdf,[3.0],True
77,09747172_2019-01-15.pdf,"[2.0, 3.0]",True
78,11115843_2018-09-27.pdf,[1.0],True
79,10709480_2018-10-01.pdf,[],False
80,02119876_2017-09-21.pdf,[3.0],True
81,05863306_2018-08-03.pdf,[],False
82,09038010_2018-05-31.pdf,"[1.0, 6.0, 7.0]",True
83,04406655_2018-08-31.pdf,[],False
84,06919730_2018-05-23.pdf,[],False
85,10636731_2018-11-05.pdf,"[2.0, 4.0, 6.0]",True
86,06329355_2018-09-18.pdf,[],False
87,10676260_2018-11-14.pdf,"[1.0, 5.0]",True
88,10264193_2018-05-05.pdf,[1.0],True
89,10616881_2019-02-04.pdf,[1.0],True
90,03491077_2018-07-13.pdf,[],False
91,07241284_2018-12-27.pdf,"[1.0, 4.0, 7.0]",True
92,10651225_2018-12-03.pdf,[2.0],True
93,10923660_2018-10-22.pdf,[1.0],True
94,06318736_2018-05-03.pdf,[],False
95,09925438_2018-11-26.pdf,[],False
96,10571962_2018-09-22.pdf,[2.0],True
97,09948734_2018-10-24.pdf,[],False
98,09716190_2018-01-29.pdf,[],False
99,10575542_2018-10-17.pdf,[],False
100,10739958_2018-10-31.pdf,"[2.0, 3.0]",True
101,10690117_2018-12-21.pdf,[3.0],True
102,10355449_2018-11-06.pdf,[],False
103,09942605_2017-10-11.pdf,[1.0],True
104,10760769_2018-07-23.pdf,[],False
105,04653831_2018-06-26.pdf,[],False
106,01309169_2018-10-01.pdf,[],False
107,10566208_2018-12-20.pdf,[2.0],True
