label,file_name,number_of_files,ratio_of_files,clean_labels,bigram_labels
 creditors amounts falling due after more than one year,['01346397_2018-12-14'],1,0.001976284584980237,creditors amounts falling year,creditors_amounts falling_year
 i,['05476131_2018-07-10'],1,0.001976284584980237,,
.,['07025669_2018-01-09' '09469412_2019-01-05'],2,0.003952569169960474, ,
. . year,['07444976_2018-12-27'],1,0.001976284584980237, year,year
. creditors amounts falling due within on year,['10129537_2018-07-12'],1,0.001976284584980237, creditors amounts falling year,creditors_amounts falling_year
. derivative assets exchange rate contracts crosscurrency swaps,['02338548_2018-03-23'],1,0.001976284584980237, derivative assets exchange rate contracts crosscurrency swaps,derivative_assets exchange rate_contracts crosscurrency swaps
. derivative assets exchange rate contracts securitisation cross currency swaps,['02338548_2018-03-23'],1,0.001976284584980237, derivative assets exchange rate contracts securitisation cross currency swaps,derivative_assets exchange rate_contracts securitisation cross currency swaps
. derivative assets interest rate contracts bermudan swaptions,['02338548_2018-03-23'],1,0.001976284584980237, derivative assets rate contracts bermudan swaptions,derivative_assets rate_contracts bermudan swaptions
. derivative liabilities interest rate contracts bermudan swaptions q,['02338548_2018-03-23'],1,0.001976284584980237, derivative liabilities rate contracts bermudan swaptions q,derivative liabilities rate_contracts bermudan swaptions q
. donations and legacies unrestricted restricted total total funds funds,['03531311_2018-11-29'],1,0.001976284584980237, donations legacies unrestricted restricted total total funds funds,donations_legacies unrestricted_restricted total total_funds funds
. fvtpl loans and advances to customers rollup mortgage portfolio,['02338548_2018-03-23'],1,0.001976284584980237, fvtpl loans advances customers rollup mortgage portfolio,fvtpl loans advances customers rollup mortgage portfolio
. income from charitable unrestricted restricted total total activities funds funds,['03531311_2018-11-29'],1,0.001976284584980237, income charitable unrestricted restricted total total activities funds funds,income charitable unrestricted_restricted total total activities funds_funds
. mr l  reed,['10129537_2018-07-12'],1,0.001976284584980237, mr l reed,mr l reed
. notes to consolidated financial statements as at and for the year ended march,['02641437_2019-01-02'],1,0.001976284584980237, notes consolidated financial statements year ended march,notes consolidated financial_statements year_ended march
. profit and loss account,['07291750_2018-05-03'],1,0.001976284584980237, profit loss account,profit_loss account
. total long term liabilities,['OC389955_2017-08-16'],1,0.001976284584980237, total long term liabilities,total long term liabilities
.called up equity share capital,['09776690_2018-07-04'],1,0.001976284584980237, called equity share capital,called equity_share capital
.note funds funds,['06054549_2018-10-19'],1,0.001976284584980237, note funds funds,note funds_funds
157301 783096 679940 total expenditure 620795 on investments,['SC094096_2018-10-03'],1,0.001976284584980237,157301 783096 679940 total expenditure 620795 investments,157301 783096 679940 total_expenditure 620795 investments
629100 594923 47671 89994 other trading activities shop income 629100 other income 47671 income from investments gift aid receivable from subsidiaries,['07200267_2018-12-21'],1,0.001976284584980237,629100 594923 47671 89994 trading activities shop income 629100 income 47671 income investments gift aid receivable subsidiaries,629100 594923 47671 89994 trading_activities shop income 629100 income 47671 income investments gift aid receivable subsidiaries
a,['09153921_2018-09-05' '02865602_2018-06-20' '04905451_2018-06-29'],3,0.005928853754940711,,
abbeyfield properties limited  financial statements  march,['09482576_2019-01-04'],1,0.001976284584980237,abbeyfield properties limited financial statements march,abbeyfield properties limited financial_statements march
accountancy fee,['01386096_2018-06-07'],1,0.001976284584980237,accountancy fee,accountancy fee
accruals,['10385861_2019-01-02' 'OC370074_2018-09-10'],2,0.003952569169960474,accruals,accruals
accruals and deferred income,"['07314921_2018-06-21' '05305200_2018-11-27' '02559683_2018-05-09'
 'SC503875_2018-05-04' '05157431_2018-06-06' '06989049_2018-05-01'
 '05468650_2017-11-15' '07068932_2018-05-31' '04155448_2018-11-26'
 '09380893_2018-05-24' '09708034_2018-05-22' '09819650_2018-05-31'
 '08814444_2018-09-10' '08252329_2019-01-18' '08455384_2018-10-25'
 '05824628_2018-10-16' '09783674_2018-12-21' '05032067_2018-10-15'
 '05529094_2017-11-24' '09926174_2019-02-01' '10129537_2018-07-12'
 '06775822_2018-09-28' '04638871_2018-08-30' '07076803_2018-05-24'
 '04571349_2018-06-25' '08400096_2018-02-02' '08627608_2018-04-27'
 '06928061_2019-01-07' '09594612_2018-02-13' '04837764_2018-06-19'
 '08857138_2018-10-30']",31,0.06126482213438735,accruals deferred income,accruals deferred_income
accrued expenses,['01688205_2018-12-31'],1,0.001976284584980237,accrued expenses,accrued expenses
accrued interest,['OC347970_2018-08-02'],1,0.001976284584980237,accrued,accrued
accumulated losses,['02407799_2018-04-26' '08804092_2018-08-15' '03824389_2018-09-10'],3,0.005928853754940711,accumulated losses,accumulated_losses
activities,['08066742_2018-09-12'],1,0.001976284584980237,activities,activities
adverse balance,['02567814_2018-12-21'],1,0.001976284584980237,adverse balance,adverse balance
al,['03431665_2018-01-09'],1,0.001976284584980237,al,al
allotted called up and fully paid ordinary shares of  each,['00562498_2018-12-19'],1,0.001976284584980237,allotted called fully paid ordinary shares,allotted called fully paid ordinary_shares
allotted called. up.and unpaid,['10120241_2018-07-25'],1,0.001976284584980237,allotted called up and unpaid,allotted called up and unpaid
allotted issued and fully paid,['10632949_2018-09-18'],1,0.001976284584980237,allotted issued fully paid,allotted issued fully paid
amounts due from members,['OC324745_2018-09-17'],1,0.001976284584980237,amounts members,amounts_members
