,reason_x,filename,reason_y,reason,all_reasons
0,incorrect year,10481329_2018-09-21,,,incorrect year
1,incorrect year,06199992_2018-05-11,,,incorrect year
2,incorrect year,SC530730_2018-12-07,,,incorrect year
3,incorrect year,02390404_2018-12-09,,,incorrect year
4,incorrect year,09232066_2018-05-08,,,incorrect year
5,incorrect year,05445922_2017-09-30,,,incorrect year
6,incorrect year,10340513_2018-05-22,,,incorrect year
7,incorrect year,02555553_2017-03-20,,,incorrect year
8,incorrect year,02442769_2017-01-30,,,incorrect year
9,incorrect year,09586207_2019-01-12,,,incorrect year
10,incorrect year,03661209_2018-09-13,,,incorrect year
11,incorrect year,OC365965_2017-08-15,,,incorrect year
12,incorrect year,10529515_2018-09-10,,,incorrect year
13,incorrect year,08699242_2017-04-06,,,incorrect year
14,incorrect year,10715930_2018-12-20,,,incorrect year
15,incorrect year,09277272_2017-01-20,,,incorrect year
16,incorrect year,09819650_2018-05-31,,,incorrect year
17,incorrect year,08814444_2018-09-10,,,incorrect year
18,incorrect year,03128528_2018-05-30,,,incorrect year
19,incorrect year,02712039_2017-10-06,,,incorrect year
20,incorrect year,SC381770_2018-09-27,,value is year?,incorrect year value is year?
21,incorrect year,OC389955_2017-08-16,,value is year?,incorrect year value is year?
22,incorrect year,05259054_2018-05-31,,,incorrect year
23,incorrect year,03063532_2017-09-26,,,incorrect year
24,incorrect year,03898654_2018-02-08,,,incorrect year
25,incorrect year,05890653_2018-05-27,,,incorrect year
26,incorrect year,03828538_2018-06-07,,value is year?,incorrect year value is year?
27,incorrect year,OC324745_2018-09-17,,,incorrect year
28,incorrect year,09613324_2018-10-26,,,incorrect year
29,incorrect year,08199321_2018-06-14,,,incorrect year
30,incorrect year,03118854_2017-06-09,,,incorrect year
31,incorrect year,05447878_2017-05-12,,value is year?,incorrect year value is year?
32,incorrect year,08323655_2018-10-02,,,incorrect year
33,incorrect year,07692515_2017-04-29,,,incorrect year
34,incorrect year,07162861_2018-11-06,,,incorrect year
35,incorrect year,09603572_2017-09-20,,,incorrect year
36,incorrect year,02541055_2018-06-21,,,incorrect year
37,incorrect year,09058573_2017-06-27,,value is year?,incorrect year value is year?
38,incorrect year,09070307_2018-12-18,,,incorrect year
39,incorrect year,08614121_2017-06-29,,value is year?,incorrect year value is year?
40,incorrect year,04947762_2018-08-13,,,incorrect year
41,incorrect year,08056186_2017-04-27,,,incorrect year
42,,07427985_2018-08-22,suspicious units,,suspicious units
43,,OC338682_2018-11-07,suspicious units,value is year?,suspicious units value is year?
44,,08296561_2019-01-21,suspicious units,,suspicious units
45,,SC425845_2018-08-08,suspicious units,,suspicious units
46,,03800292_2018-03-08,suspicious units,value is year?,suspicious units value is year?
47,,09021731_2018-03-08,suspicious units,,suspicious units
48,,02222361_2018-10-22,suspicious units,value is year?,suspicious units value is year?
49,,04154504_2018-07-03,suspicious units,,suspicious units
50,,05457103_2018-08-10,,value is year?,value is year?
51,,08804092_2018-08-15,,value is year?,value is year?
52,,08342128_2018-09-28,,value is year?,value is year?
53,,04192928_2018-10-21,,value is year?,value is year?
54,,02531272_2018-10-25,,value is year?,value is year?
55,,03799358_2018-08-20,,value is year?,value is year?
56,,02193829_2018-09-21,,value is year?,value is year?
57,,01557781_2019-01-24,,value is year?,value is year?
58,,08512069_2018-07-11,,value is year?,value is year?
59,,02676624_2018-09-28,,value is year?,value is year?
60,,OC342862_2018-10-24,,value is year?,value is year?
61,,01684721_2018-05-24,,value is year?,value is year?
62,,00645015_2019-01-03,,value is year?,value is year?
63,,08066742_2018-09-12,,value is year?,value is year?
64,,07491176_2018-09-14,,value is year?,value is year?
65,,06223740_2018-10-22,,value is year?,value is year?
66,,01688205_2018-12-31,,value is year?,value is year?
67,,07563968_2018-08-29,,value is year?,value is year?
68,,02567814_2018-12-21,,value is year?,value is year?
69,,06024424_2018-09-17,,value is year?,value is year?
70,,02641437_2019-01-02,,value is year?,value is year?
71,,06734246_2018-04-25,,value is year?,value is year?
72,,09869872_2019-01-22,,value is year?,value is year?
73,,OC347970_2018-08-02,,value is year?,value is year?
74,,07228603_2019-01-05,,value is year?,value is year?
75,,10173891_2018-02-12,,value is year?,value is year?
76,,09789710_2018-05-12,,value is year?,value is year?
77,,09708034_2018-05-22,,value is year?,value is year?
78,,08646989_2018-10-07,,value is year?,value is year?
79,,OC407377_2018-12-31,,value is year?,value is year?
80,,02552255_2018-10-15,,value is year?,value is year?
81,,00904957_2018-09-13,,value is year?,value is year?
82,,OC412019_2019-02-08,,value is year?,value is year?
83,,03074921_2018-09-28,,value is year?,value is year?
84,,04729479_2018-10-15,,value is year?,value is year?
85,,05216450_2018-11-16,,value is year?,value is year?
86,,10632949_2018-09-18,,value is year?,value is year?
87,,07987156_2018-12-19,,value is year?,value is year?
88,,03216059_2018-07-24,,value is year?,value is year?
89,,01902690_2019-01-08,,value is year?,value is year?
90,,04638871_2018-08-30,,value is year?,value is year?
91,,09518150_2018-05-15,,value is year?,value is year?
92,,07660688_2018-09-21,,value is year?,value is year?
93,,01894501_2018-11-19,,value is year?,value is year?
94,,05989934_2018-10-04,,value is year?,value is year?
95,,06015649_2018-09-30,,value is year?,value is year?
96,,03972790_2019-01-15,,value is year?,value is year?
97,,04126929_2018-07-17,,value is year?,value is year?
98,,06381573_2018-09-25,,value is year?,value is year?
99,,02671511_2018-03-22,,value is year?,value is year?
100,,OC363306_2018-12-24,,value is year?,value is year?
101,,08400096_2018-02-02,,value is year?,value is year?
102,,09482576_2019-01-04,,value is year?,value is year?
103,,08287045_2018-11-20,,value is year?,value is year?
104,,06054549_2018-10-19,,value is year?,value is year?
105,,05859829_2018-12-06,,value is year?,value is year?
106,,10379807_2018-12-05,,value is year?,value is year?
107,,04067971_2018-05-21,,value is year?,value is year?
108,,05860129_2018-03-27,,value is year?,value is year?
109,,02704700_2018-10-08,,value is year?,value is year?
110,,SC392607_2018-01-15,,value is year?,value is year?
111,,02197238_2018-10-04,,value is year?,value is year?
112,,OC411998_2018-08-28,,value is year?,value is year?
113,,03123932_2018-05-24,,value is year?,value is year?
114,,OC370074_2018-09-10,,value is year?,value is year?
115,,05476131_2018-07-10,,value is year?,value is year?
116,,03012180_2018-07-23,,value is year?,value is year?
117,,08456856_2018-12-17,,value is year?,value is year?
118,,01050578_2018-11-07,,value is year?,value is year?
119,,OC345647_2018-05-15,,value is year?,value is year?
120,,03531311_2018-11-29,,value is year?,value is year?
121,,SC094096_2018-10-03,,value is year?,value is year?
