,conf,currYr,label,source,value,year,unit
0,94.0,1.0,Property plant and equipment,Property plant and equipment 4 17396 9904,17396,2018.0,£
1,96.0,0.0,Property plant and equipment,Property plant and equipment 4 17396 9904,9904,2017.0,£
2,96.0,1.0,Receivables,Receivables 5 17720 28246,17720,2018.0,£
3,96.0,0.0,Receivables,Receivables 5 17720 28246,28246,2017.0,£
4,96.0,1.0,Cash at bank and in hand,Cash at bank and in hand 37250 63,37250,2018.0,£
5,96.0,0.0,Cash at bank and in hand,Cash at bank and in hand 37250 63,63,2017.0,£
6,96.0,1.0,Payables Amounts falling due within one,Payables Amounts falling due within one 6 23926 15908,23926,2018.0,£
7,95.0,0.0,Payables Amounts falling due within one,Payables Amounts falling due within one 6 23926 15908,15908,2017.0,£
8,96.0,1.0,Net Current Assets,Net Current Assets 31044 12401,31044,2018.0,£
9,96.0,0.0,Net Current Assets,Net Current Assets 31044 12401,12401,2017.0,£
10,96.0,1.0,Net assets attributable to members,Net assets attributable to members 48440 22305,48440,2018.0,£
11,95.0,0.0,Net assets attributable to members,Net assets attributable to members 48440 22305,22305,2017.0,£
12,96.0,1.0,Other amounts,Other amounts 48440 22305,48440,2018.0,£
13,96.0,0.0,Other amounts,Other amounts 48440 22305,22305,2017.0,£
14,96.0,1.0,Loans and other debts due to members,Loans and other debts due to members 48440 22305,48440,2018.0,£
15,96.0,0.0,Loans and other debts due to members,Loans and other debts due to members 48440 22305,22305,2017.0,£
