,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Current assets inventories,inventories 3 207669 207091,207669,2018.0,£
1,96.0,0.0,Current assets inventories,inventories 3 207669 207091,207091,2017.0,£
2,96.0,1.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 214206 210964,214206,2018.0,£
3,95.0,0.0,Creditors amounts falling due within one year,Creditors amounts falling due within one year 4 214206 210964,210964,2017.0,£
4,90.0,1.0,Net current assets liabilities,Net current assets liabilities 6537 3873,6537,2018.0,£
5,96.0,0.0,Net current assets liabilities,Net current assets liabilities 6537 3873,3873,2017.0,£
6,96.0,1.0,Total assets less current liabilities,Total assets less current liabilities 6537 3873,6537,2018.0,£
7,96.0,0.0,Total assets less current liabilities,Total assets less current liabilities 6537 3873,3873,2017.0,£
8,96.0,1.0,Net assetsliabilities,Net assetsliabilities 6537 3873,6537,2018.0,£
9,96.0,0.0,Net assetsliabilities,Net assetsliabilities 6537 3873,3873,2017.0,£
10,96.0,1.0,Called up equity share capital,Called up equity share capital 6 1 1,1,2018.0,£
11,92.0,0.0,Called up equity share capital,Called up equity share capital 6 1 1,1,2017.0,£
12,95.0,1.0,Reserves,Reserves 6538 3874,6538,2018.0,£
13,96.0,0.0,Reserves,Reserves 6538 3874,3874,2017.0,£
14,96.0,1.0,Total equity shareholders funds,Total equity shareholders funds 6537 3873,6537,2018.0,£
15,96.0,0.0,Total equity shareholders funds,Total equity shareholders funds 6537 3873,3873,2017.0,£
