,conf,currYr,label,source,value,year,unit
0,71.0,1.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 6 2430185  2436 700,2436,2018.0,£
1,71.0,0.0,Debtors amounts falling due within one year,Debtors amounts falling due within one year 6 2430185  2436 700,700,2017.0,£
2,95.0,1.0,Creditors amounts falling due within one year,year 8 14350 19675,14350,2018.0,£
3,96.0,0.0,Creditors amounts falling due within one year,year 8 14350 19675,19675,2017.0,£
4,96.0,1.0,Net current assets,Net current assets 2416534 2457387,2416534,2018.0,£
5,95.0,0.0,Net current assets,Net current assets 2416534 2457387,2457387,2017.0,£
6,95.0,1.0,Total assets less current liabilities,Total assets less current liabilities   2416534 2457387,2416534,2018.0,£
7,95.0,0.0,Total assets less current liabilities,Total assets less current liabilities   2416534 2457387,2457387,2017.0,£
8,95.0,1.0,Net assets,Net assets 2416534 2457387,2416534,2018.0,£
9,96.0,0.0,Net assets,Net assets 2416534 2457387,2457387,2017.0,£
10,96.0,1.0,Members capital classified as equity,Members capital classified as equity 4972144 4566654,4972144,2018.0,£
11,96.0,0.0,Members capital classified as equity,Members capital classified as equity 4972144 4566654,4566654,2017.0,£
12,95.0,1.0,Other reserves classified as equity,Other reserves classified as equity 2555610 2109267,2555610,2018.0,£
13,96.0,0.0,Other reserves classified as equity,Other reserves classified as equity 2555610 2109267,2109267,2017.0,£
14,57.0,1.0,Amounts due from members included in  So debtors, Amounts due from members included in  So debtors 6 2412063 2417275,2412063,2018.0,£
15,96.0,0.0,Amounts due from members included in  So debtors, Amounts due from members included in  So debtors 6 2412063 2417275,2417275,2017.0,£
16,96.0,1.0,Members other interests,Members other interests 2416534 2457387,2416534,2018.0,£
17,95.0,0.0,Members other interests,Members other interests 2416534 2457387,2457387,2017.0,£
