,conf,currYr,label,source,value,year,unit
0,96.0,1.0,Tangible,Tangible 6 100870 108786,100870,2017.0,£
1,96.0,0.0,Tangible,Tangible 6 100870 108786,108786,2016.0,£
2,96.0,1.0,Stock,Stock 13000 13000,13000,2017.0,£
3,96.0,0.0,Stock,Stock 13000 13000,13000,2016.0,£
4,96.0,1.0,Debtors,Debtors 7 44675 44164,44675,2017.0,£
5,94.0,0.0,Debtors,Debtors 7 44675 44164,44164,2016.0,£
6,93.0,1.0,Bank,Bank 9310 7802,9310,2017.0,£
7,96.0,0.0,Bank,Bank 9310 7802,7802,2016.0,£
8,94.0,1.0,CREDITORS  Amounts falling due within one year,one year 8 331859 295298,331859,2017.0,£
9,96.0,0.0,CREDITORS  Amounts falling due within one year,one year 8 331859 295298,295298,2016.0,£
10,96.0,1.0,NET CURRENT LIABILITIES,NET CURRENT LIABILITIES 264874 230331,264874,2017.0,£
11,92.0,0.0,NET CURRENT LIABILITIES,NET CURRENT LIABILITIES 264874 230331,230331,2016.0,£
12,95.0,1.0,NET LIABILITIES,NET LIABILITIES  164004  121545,164004,2017.0,£
13,89.0,0.0,NET LIABILITIES,NET LIABILITIES  164004  121545,121545,2016.0,£
14,95.0,1.0,Called Up Share Capital,Called Up Share Capital 9 14900 14900,14900,2017.0,£
15,95.0,0.0,Called Up Share Capital,Called Up Share Capital 9 14900 14900,14900,2016.0,£
16,95.0,1.0,Profit  Loss,Profit  Loss 178904 136445,178904,2017.0,£
17,96.0,0.0,Profit  Loss,Profit  Loss 178904 136445,136445,2016.0,£
