,filename,all_reasons,OK?,notes,conf,label,value,year,unit
20,00645015_2019-01-03,value is year?,y,,93,called up share capital,2002,2018,£
21,00645015_2019-01-03,value is year?,y,,96,called up share capital,2002,2017,£
6,00645015_2019-01-03,value is year?,y,,95,cash at bank and in hand,166665,2018,£
7,00645015_2019-01-03,value is year?,y,,96,cash at bank and in hand,98022,2017,£
14,00645015_2019-01-03,value is year?,y,,96,creditors amounts falling due after more than one year,695701,2018,£
15,00645015_2019-01-03,value is year?,y,,96,creditors amounts falling due after more than one year,843126,2017,£
8,00645015_2019-01-03,value is year?,y,,96,creditors amounts falling due within one year,225565,2018,£
9,00645015_2019-01-03,value is year?,y,,96,creditors amounts falling due within one year,73966,2017,£
4,00645015_2019-01-03,value is year?,y,,96,debtors,375921,2018,£
5,00645015_2019-01-03,value is year?,y,,96,debtors,274518,2017,£
0,00645015_2019-01-03,value is year?,y,,87,investment properties,905000,2018,£
1,00645015_2019-01-03,value is year?,y,,87,investment properties,905000,2017,£
22,00645015_2019-01-03,value is year?,y,,69,investment property reserves,4818572,2018,£
23,00645015_2019-01-03,value is year?,y,,95,investment property reserves,4815651,2017,£
18,00645015_2019-01-03,value is year?,y,,95,net assets,6672447,2018,£
19,00645015_2019-01-03,value is year?,y,,96,net assets,6503654,2017,£
10,00645015_2019-01-03,value is year?,y,,95,net current assets,6937873,2018,£
11,00645015_2019-01-03,value is year?,y,,95,net current assets,6919426,2017,£
24,00645015_2019-01-03,value is year?,y,,95,profit and loss reserves,1851873,2018,£
25,00645015_2019-01-03,value is year?,y,,94,profit and loss reserves,1686001,2017,£
16,00645015_2019-01-03,value is year?,y,,96,provisions for liabilities,474725,2018,£
17,00645015_2019-01-03,value is year?,y,,96,provisions for liabilities,477646,2017,£
2,00645015_2019-01-03,value is year?,y,,96,stocks,6620852,2018,£
3,00645015_2019-01-03,value is year?,y,,96,stocks,6620852,2017,£
12,00645015_2019-01-03,value is year?,y,,92,total assets less current liabilities,7842873,2018,£
13,00645015_2019-01-03,value is year?,y,,96,total assets less current liabilities,7824426,2017,£
26,00645015_2019-01-03,value is year?,y,,49,total equity,6672447,2018,£
27,00645015_2019-01-03,value is year?,y,,96,total equity,6503654,2017,£
40,00904957_2018-09-13,value is year?,y,,96,amounts falling due within one year,31665959,2017,£
41,00904957_2018-09-13,value is year?,y,,96,amounts falling due within one year,28196177,2016,£
50,00904957_2018-09-13,value is year?,y,,96,called up share capital,800000,2017,£
51,00904957_2018-09-13,value is year?,y,,96,called up share capital,800000,2016,£
38,00904957_2018-09-13,value is year?,y,,92,cash at bank and in hand,3164242,2017,£
39,00904957_2018-09-13,value is year?,y,,96,cash at bank and in hand,2964659,2016,£
36,00904957_2018-09-13,value is year?,y,,95,debtors,26149292,2017,£
37,00904957_2018-09-13,value is year?,y,,95,debtors,20226412,2016,£
